season,sport,division,stage,rank,team,team_name,wins,losses,points,details,mvp,rookie,source
2003-2004,Badminton,Men's,Final Standings,1,FEU,Far Eastern University,,,,Champion,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Men's,Final Standings,2,UST,University of Santo Tomas,,,,Runner-up,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Men's,Final Standings,3,UP,University of the Philippines,,,,Third place,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Men's,Final Standings,4,UE,University of the East,,,,Fourth place,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Men's,Final Standings,5,DLSU,De La Salle University,,,,Fifth place,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Men's,Final Standings,6,ADMU,Ateneo de Manila University,,,,Sixth place,Lloyd Escoses (FEU),Wilmer Frias (FEU),IMG_0553
2003-2004,Badminton,Women's,Final Standings,1,ADMU,Ateneo de Manila University,,,,Champion,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Badminton,Women's,Final Standings,2,FEU,Far Eastern University,,,,Runner-up,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Badminton,Women's,Final Standings,3,DLSU,De La Salle University,,,,Third place,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Badminton,Women's,Final Standings,4,UST,University of Santo Tomas,,,,Fourth place,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Badminton,Women's,Final Standings,5,UP,University of the Philippines,,,,Fifth place,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Badminton,Women's,Final Standings,6,UE,University of the East,,,,Sixth place,Irene Chiu (ADMU),Theresa Sebastian (FEU),IMG_0554
2003-2004,Baseball,Men's,Final Standings,1,UP,University of the Philippines,9,1,,Champion,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Baseball,Men's,Final Standings,2,UST,University of Santo Tomas,9,1,,Runner-up,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Baseball,Men's,Final Standings,3,AdU,Adamson University,4,6,,Third place,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Baseball,Men's,Final Standings,4,NU,National University,4,6,,Fourth place,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Baseball,Men's,Final Standings,5,DLSU,De La Salle University,3,7,,Fifth place,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Baseball,Men's,Final Standings,6,ADMU,Ateneo de Manila University,1,9,,Sixth place,DARWIN DELA CALZADA (UP),FRANCIS FUENTES (UST),IMG_0587
2003-2004,Basketball,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,10,2,,Champion,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,2,AdU,Adamson University,10,2,,0.833,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,3,DLSZ,De La Salle Santiago Zobel School,8,4,,0.667,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,4,UE,University of the East,6,6,,0.500,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,5,UST,University of Santo Tomas,6,6,,0.500,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,6,UPIS,UP Integrated School,2,10,,0.167,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,6,UP,University of the Philippines,,,,6$^{th}$ Place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Juniors,Final Standings,7,NU,National University,0,12,,0.000,| : (-- | :--- |),| : (-- | :--- |),"IMG_0594, IMG_0649"
2003-2004,Basketball,Men's,Final Standings,1,ADMU,Ateneo de Manila University,11,3,15,0.786,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,1,FEU,Far Eastern University,11,3,12,Champion,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,3,UE,University of the East,11,3,15,Third place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,4,DLSU,De La Salle University,7,7,14,Fourth place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,5,AdU,Adamson University,5,9,13,Fifth place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,6,UST,University of Santo Tomas,5,9,6,Sixth place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,7,UP,University of the Philippines,3,11,9,Seventh place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Men's,Final Standings,8,NU,National University,3,11,9,Eighth place,| : (-- | :--- |),| : (-- | :--- |),"IMG_0591, IMG_0592, IMG_0600, IMG_0602, IMG_0611, IMG_0632, IMG_0633"
2003-2004,Basketball,Women's,Final Standings,1,AdU,Adamson University,11,1,,0.917,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,2,UP,University of the Philippines,8,4,,0.667,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,3,ADMU,Ateneo de Manila University,7,5,,0.583,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,4,DLSU,De La Salle University,7,5,,0.583,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,5,UST,University of Santo Tomas,5,7,,0.417,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,6,FEU,Far Eastern University,4,8,,0.333,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Basketball,Women's,Final Standings,7,UE,University of the East,0,12,,0.000,Dorothy C. V. Torres (AdU),Cassandra Noel G. Tioseco (ADMU),"IMG_0593, IMG_0624"
2003-2004,Chess,Boys,Final Standings,2,UE,University of the East,,,,Bye,,,IMG_0684
2003-2004,Chess,Boys,Final Standings,3,NU,National University,,,,3,,,IMG_0684
2003-2004,Chess,Boys,Final Standings,4,ADMU,Ateneo de Manila University,,,,4,,,IMG_0684
2003-2004,Chess,Boys,Final Standings,5,DLSU,De La Salle University,,,,0,,,IMG_0684
2003-2004,Chess,Boys,Final Standings,6,UST,University of Santo Tomas,,,,1,,,IMG_0684
2003-2004,Chess,Juniors,Final Standings,1,UP,University of the Philippines,,,,Champion,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,2,DLSU,De La Salle University,,,,Runner-up,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,2,NU,National University,,,24.5,"Magat, Jed Angelo",JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,3,ADMU,Ateneo de Manila University,,,19,"Queseng, John",JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,3,UST,University of Santo Tomas,,,9,Third place,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,4,UE,University of the East,,,26,Fourth place,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,5,DLSZ,De La Salle Santiago Zobel School,,,1.5,,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Juniors,Final Standings,5,FEU,Far Eastern University,,,,Fifth place,JED ANGELO MAGAT (NU),ADRIAN PEREZ (UE),IMG_0681
2003-2004,Chess,Women's,Final Standings,1,DLSU,De La Salle University,,2.5,,4,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,2,UST,University of Santo Tomas,1.5,,,1,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,3,UE,University of the East,0,3,,,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,4,UP,University of the Philippines,3.5,2.5,,3,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,5,FEU,Far Eastern University,0,0,,0,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,6,ADMU,Ateneo de Manila University,0.5,1,,0,,,IMG_0680
2003-2004,Chess,Women's,Final Standings,7,NU,National University,0.5,0,,1,,,IMG_0680
2003-2004,Fencing,Men's,Final Standings,1,UE,University of the East,5,3,,Champion,Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Men's,Final Standings,3,FEU,Far Eastern University,5,5,,"Vizcayno, Wilfredo",Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Men's,Final Standings,3,UST,University of Santo Tomas,4,2,,Third place,Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Men's,Final Standings,4,UP,University of the Philippines,5,4,,Fourth place,Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Men's,Final Standings,5,ADMU,Ateneo de Manila University,,4,,Fifth place,Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Men's,Final Standings,6,DLSU,De La Salle University,3,2,,Sixth place,Edmond Velez (UE),,"IMG_0686, IMG_0687, IMG_0688, IMG_0689, IMG_0690, IMG_0693, IMG_0694, IMG_0695, IMG_0699, IMG_0700, IMG_0701"
2003-2004,Fencing,Women's,Final Standings,1,UP,University of the Philippines,1,3,,Champion,Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Fencing,Women's,Final Standings,3,UE,University of the East,2,0,,Third place,Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Fencing,Women's,Final Standings,4,ADMU,Ateneo de Manila University,,5,,Fourth place,Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Fencing,Women's,Final Standings,5,FEU,Far Eastern University,3,5,,Fifth place,Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Fencing,Women's,Final Standings,6,DLSU,De La Salle University,5,5,,Sixth place,Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Fencing,Women's,Final Standings,6,UST,University of Santo Tomas,5,5,,"ORENDAIN, Harlene",Virgie Nuestro (UP),,"IMG_0686, IMG_0687, IMG_0704, IMG_0706, IMG_0707, IMG_0708, IMG_0711, IMG_0712, IMG_0713, IMG_0718"
2003-2004,Football,Men's,Final Standings,1,ADMU,Ateneo de Manila University,7,2,2,Champion,Ariel Zerrudo (UP),Patrick Ozaeta (ADMU),IMG_0720
