season,sport,division,stage,rank,team,wins,losses,pct,points,source_page
2003-2004,Badminton,Men's,Standings,1,FEU,,,,,IMG_0553
2003-2004,Badminton,Men's,Standings,1,UP,,,,,IMG_0556
2003-2004,Badminton,Men's,Standings,1,UST,,,,,IMG_0557
2003-2004,Badminton,Men's,Standings,1,DLSU,,,,,IMG_0561
2003-2004,Badminton,Men's,Standings,1,UE,,,,,IMG_0578
2003-2004,Badminton,Men's,Standings,2,UST,,,,,IMG_0553
2003-2004,Badminton,Men's,Standings,2,FEU,,,,,IMG_0555
2003-2004,Badminton,Men's,Standings,2,UP,,,,,IMG_0556
2003-2004,Badminton,Men's,Standings,2,UE,,,,,IMG_0561
2003-2004,Badminton,Men's,Standings,2,DLSU,,,,,IMG_0572
2003-2004,Badminton,Men's,Standings,3,UP,,,,,IMG_0553
2003-2004,Badminton,Men's,Standings,3,FEU,,,,,IMG_0555
2003-2004,Badminton,Men's,Standings,3,UST,,,,,IMG_0557
2003-2004,Badminton,Men's,Standings,3,UE,,,,,IMG_0561
2003-2004,Badminton,Men's,Standings,3,DLSU,,,,,IMG_0572
2003-2004,Badminton,Men's,Standings,4,UE,,,,,IMG_0553
2003-2004,Badminton,Men's,Standings,4,FEU,,,,,IMG_0555
2003-2004,Badminton,Men's,Standings,4,DLSU,,,,,IMG_0556
2003-2004,Badminton,Men's,Standings,4,UP,,,,,IMG_0562
2003-2004,Badminton,Men's,Standings,4,UST,,,,,IMG_0565
2003-2004,Badminton,Men's,Standings,5,DLSU,,,,,IMG_0553
2003-2004,Badminton,Men's,Standings,5,UP,,,,,IMG_0556
2003-2004,Badminton,Men's,Standings,5,UST,,,,,IMG_0557
2003-2004,Badminton,Men's,Standings,5,UE,,,,,IMG_0561
2003-2004,Badminton,Men's,Standings,5,FEU,,,,,IMG_0563
2003-2004,Badminton,Men's,Standings,6,ADMU,,,,,IMG_0553
2003-2004,Badminton,Women's,Final Standings,1,ADMU,,,,,IMG_0554
2003-2004,Badminton,Women's,Final Standings,2,FEU,,,,,IMG_0554
2003-2004,Badminton,Women's,Final Standings,3,DLSU,,,,,IMG_0554
2003-2004,Badminton,Women's,Final Standings,4,UST,,,,,IMG_0554
2003-2004,Badminton,Women's,Final Standings,5,UP,,,,,IMG_0554
2003-2004,Badminton,Women's,Final Standings,6,UE,,,,,IMG_0554
2003-2004,Badminton,Women's,Standings,1,ADMU,,,,,IMG_0558
2003-2004,Badminton,Women's,Standings,1,UE,,,,,IMG_0559
2003-2004,Badminton,Women's,Standings,1,FEU,,,,,IMG_0560
2003-2004,Badminton,Women's,Standings,1,DLSU,,,,,IMG_0567
2003-2004,Badminton,Women's,Standings,1,UST,,,,,IMG_0569
2003-2004,Badminton,Women's,Standings,2,ADMU,,,,,IMG_0558
2003-2004,Badminton,Women's,Standings,2,DLSU,,,,,IMG_0559
2003-2004,Badminton,Women's,Standings,2,UST,,,,,IMG_0560
2003-2004,Badminton,Women's,Standings,2,FEU,,,,,IMG_0568
2003-2004,Badminton,Women's,Standings,2,UP,,,,,IMG_0581
2003-2004,Badminton,Women's,Standings,3,ADMU,,,,,IMG_0558
2003-2004,Badminton,Women's,Standings,3,DLSU,,,,,IMG_0559
2003-2004,Badminton,Women's,Standings,3,FEU,,,,,IMG_0560
2003-2004,Badminton,Women's,Standings,3,UP,,,,,IMG_0567
2003-2004,Badminton,Women's,Standings,3,UST,,,,,IMG_0574
2003-2004,Badminton,Women's,Standings,4,ADMU,,,,,IMG_0558
2003-2004,Badminton,Women's,Standings,4,DLSU,,,,,IMG_0559
2003-2004,Badminton,Women's,Standings,4,FEU,,,,,IMG_0560
